has_code_of_conduct,has_contributing,has_license,has_readme,has_issue_template,has_pull_request_template,health_percentage,api_status,repo_name,owner,repo,overall_score,maintained_score,code_review_score
False,False,True,True,False,False,37,success,chinese-poetry/chinese-poetry,chinese-poetry,chinese-poetry,3.7,0.0,6.0
False,False,False,True,False,False,28,success,CodeWithHarry/Sigma-Web-Dev-Course,CodeWithHarry,Sigma-Web-Dev-Course,,,
True,True,True,True,False,True,100,success,louislam/uptime-kuma,louislam,uptime-kuma,,,
True,True,True,True,True,True,87,success,sveltejs/svelte,sveltejs,svelte,7.6,10.0,9.0
False,False,False,True,False,False,28,success,ascoders/weekly,ascoders,weekly,,,
False,True,True,True,False,False,50,success,spicetify/spicetify-cli,spicetify,spicetify-cli,,,
True,True,True,True,False,True,100,success,facebook/react,facebook,react,5.8,10.0,8.0
False,False,True,True,False,False,50,success,vanjs-org/van,vanjs-org,van,,,
True,True,True,True,False,True,100,success,TryGhost/Ghost,TryGhost,Ghost,4.9,10.0,7.0
False,False,True,True,False,False,28,success,501351981/vue-office,501351981,vue-office,,,
False,True,True,True,False,False,62,success,SortableJS/Sortable,SortableJS,Sortable,2.1,0.0,1.0
True,True,True,True,False,True,87,success,microsoft/Web-Dev-For-Beginners,microsoft,Web-Dev-For-Beginners,4.6,10.0,1.0
True,True,True,True,False,False,85,success,Chalarangelo/30-seconds-of-code,Chalarangelo,30-seconds-of-code,5.8,8.0,0.0
False,False,True,True,False,False,42,success,wanglin2/mind-map,wanglin2,mind-map,2.0,5.0,0.0
False,True,True,True,False,False,50,success,AMAI-GmbH/AI-Expert-Roadmap,AMAI-GmbH,AI-Expert-Roadmap,,,
True,True,True,True,False,True,85,success,nolimits4web/swiper,nolimits4web,swiper,5.9,10.0,5.0
False,False,True,True,False,False,42,success,LeCoupa/awesome-cheatsheets,LeCoupa,awesome-cheatsheets,3.9,1.0,8.0
False,False,True,True,False,False,42,success,paulmillr/encrypted-dns,paulmillr,encrypted-dns,,,
False,False,True,True,False,False,42,success,Bogdan-Lyashenko/Under-the-hood-ReactJS,Bogdan-Lyashenko,Under-the-hood-ReactJS,,,
False,True,True,True,False,False,50,success,GoogleChromeLabs/carlo,GoogleChromeLabs,carlo,3.8,0.0,2.0
False,False,False,True,False,False,28,success,fangwei716/30-days-of-react-native,fangwei716,30-days-of-react-native,,,
True,True,True,True,False,False,62,success,plotly/falcon,plotly,falcon,1.8,0.0,2.0
True,True,True,True,True,True,75,success,paypal/glamorous,paypal,glamorous,4.5,0.0,7.0
True,True,True,True,True,False,62,success,facebookarchive/nuclide,facebookarchive,nuclide,,,
False,True,True,True,False,False,50,success,tensorspace-team/tensorspace,tensorspace-team,tensorspace,1.2,0.0,0.0
True,True,True,True,False,False,62,success,facebookarchive/Keyframes,facebookarchive,Keyframes,,,
True,True,True,True,True,True,75,success,Meituan-Dianping/mpvue,Meituan-Dianping,mpvue,1.9,0.0,1.0
False,False,True,True,False,False,37,success,LogRocket/redux-logger,LogRocket,redux-logger,2.6,0.0,4.0
False,False,True,True,True,True,50,success,withspectrum/spectrum,withspectrum,spectrum,1.8,0.0,0.0
True,True,True,True,True,False,62,success,neutrinojs/neutrino,neutrinojs,neutrino,3.4,0.0,6.0
False,False,True,True,False,False,42,success,phobal/ivideo,phobal,ivideo,1.5,0.0,0.0
False,False,True,True,False,False,42,success,camwiegert/in-view,camwiegert,in-view,3.0,0.0,0.0
True,True,True,True,True,True,75,success,facebookarchive/react-360,facebookarchive,react-360,,,
True,True,True,True,True,True,75,success,ethereum/mist,ethereum,mist,1.7,0.0,3.0
False,False,True,True,False,False,42,success,veltman/flubber,veltman,flubber,3.0,0.0,0.0
False,False,True,True,False,False,42,success,bailicangdu/node-elm,bailicangdu,node-elm,,,
False,False,True,True,False,False,42,success,lhartikk/naivechain,lhartikk,naivechain,,,
False,False,False,True,False,False,28,success,1995parham/github-do-not-ban-us,1995parham,github-do-not-ban-us,,,
False,False,True,True,False,False,42,success,akxcv/vuera,akxcv,vuera,2.5,0.0,3.0
